"Distance","Longitude","Latitude","Elevation","Horizon","method","ID","Range"
49555.71472,35.18939925,32.14217364,NA,"eocene_Base","Source","AA'",NA
50013.82376,35.18762383,32.13833726,NA,"eocene_Base","Source","AA'",NA
50471.9339,35.18584857,32.13450086,NA,"eocene_Base","Source","AA'",NA
50930.04512,35.18407345,32.13066443,NA,"eocene_Base","Source","AA'",NA
51388.15737,35.18229849,32.12682798,NA,"eocene_Base","Source","AA'",NA
51846.27064,35.18052367,32.1229915,NA,"eocene_Base","Source","AA'",NA
52304.3849,35.178749,32.119155,NA,"eocene_Base","Source","AA'",NA
52682.75299,35.17713786,32.11603682,NA,"eocene_Base","Source","AA'",NA
53061.12257,35.17552684,32.11291862,NA,"eocene_Base","Source","AA'",NA
53439.49363,35.17391592,32.1098004,NA,"eocene_Base","Source","AA'",NA
53817.86612,35.17230512,32.10668216,NA,"eocene_Base","Source","AA'",NA
54196.24001,35.17069442,32.1035639,NA,"eocene_Base","Source","AA'",NA
54574.61529,35.16908384,32.10044562,NA,"eocene_Base","Source","AA'",NA
54952.99191,35.16747337,32.09732732,NA,"eocene_Base","Source","AA'",NA
55331.36985,35.165863,32.094209,NA,"eocene_Base","Source","AA'",NA
0,35.185804,32.58163,NA,"eocene_Base","Source","BB'",NA
318.5384301,35.18868228,32.58010548,NA,"eocene_Base","Source","BB'",NA
637.0768603,35.19156047,32.5785809,NA,"eocene_Base","Source","BB'",NA
955.6152904,35.19443856,32.57705626,NA,"eocene_Base","Source","BB'",NA
1274.153721,35.19731655,32.57553154,NA,"eocene_Base","Source","BB'",NA
1592.692151,35.20019444,32.57400677,NA,"eocene_Base","Source","BB'",NA
1911.230581,35.20307223,32.57248192,NA,"eocene_Base","Source","BB'",NA
2229.769011,35.20594993,32.57095701,NA,"eocene_Base","Source","BB'",NA
2548.307441,35.20882753,32.56943204,NA,"eocene_Base","Source","BB'",NA
2866.845871,35.21170503,32.567907,NA,"eocene_Base","Source","BB'",NA
3185.384301,35.21458243,32.56638189,NA,"eocene_Base","Source","BB'",NA
3192,35.21458243,32.56638189,-123.05,"eocene_Base","linear","BB'",NA
4785,35.22896797,32.55875538,-89.4,"eocene_Base","linear","BB'",NA
5409,35.23472151,32.55570432,-78.18,"eocene_Base","linear","BB'",NA
5732,35.23759813,32.55417869,-71.45,"eocene_Base","linear","BB'",NA
12103,35.29510999,32.52365234,-188.11,"eocene_Base","linear","BB'",NA
13057,35.3037334,32.51907113,-193.048,"eocene_Base","linear","BB'",NA
14973,35.32097758,32.50990695,-152.22,"eocene_Base","linear","BB'",NA
